"Maker","Model","Type","Fuel","Price","Cylinders","Displacement","DriveWheel","BHP","Torque","Acceleration","TopSpeed","MPG","Weight","Length","Width","Height","AdaptiveHeadlights","AdjustableSteering","AlarmSystem","Automatic","Bluetooth","ClimateControl","CruiseControl","ElectricSeats","Leather","ParkingSensors","PowerSteering","SatNav","ESP","Verdict","Origin"
"Infiniti","G37","G37 Coupe 3.7 V6 S 2d","Petrol",38247,6,3696,"Rear",320,265,5.9,155,26,1718,4655,1820,1387,"standard","standard","no/optional","standard","standard","standard","standard","standard","no","standard","standard","no","standard",4,"Asia"
"Infiniti","M","M37 GT Premium 4d","Petrol",44050,6,3696,"Rear",320,265,6.2,155,27,1715,4945,1845,1500,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",4,"Asia"
"Jaguar","F-Type","F-Type 3.0 V6 SC 380 S 2d","Petrol",67520,6,2995,"Rear",380,339,4.9,171,31,1614,4470,1923,1308,"optional","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",9,"Europe"
"Jaguar","XF","XF 3.0D 240 Premium Luxury 4d","Diesel",40105,6,2993,"Rear",240,369,7.1,149,47,1770,4961,1877,1460,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"Jaguar","XF Sportbrake","XF Sportbrake 2.2D 200 Premium Luxury 5d est","Petrol",39690,4,2179,"Rear",200,332,8.8,134,55,1824,4966,1877,1480,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Jaguar","XFR","XF 5.0 V8 S/C 510 XFR 4d","Petrol",65380,8,5000,"Rear",510,461,4.9,155,25,1875,4961,1877,1460,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Jaguar","XJ Series","XJ L 3.0 S/C 340 Portfolio 4d","Petrol",75815,6,2995,"Rear",340,332,5.9,155,30,1799,5252,1899,1457,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"Jaguar","XK","XK 5.0 V8 SC XKR 2d Coupe","Petrol",78550,8,5000,"Rear",510,461,4.6,155,23,1753,NA,NA,NA,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"Jeep","Compass","Compass 2.4 CVT 4x4 Limited 5d","Petrol",22310,4,2360,"4WD",168,162,10.7,116,32,1530,4448,1812,1663,"no","no","standard","no","standard","standard","standard","standard","standard","no","standard","optional","standard",6,"USA"
"Jeep","Grand Cherokee","Grand cherokee 3.0 V6 CRD 247 Overland 5d","Diesel",45695,6,2987,"4WD",247,420,8.2,126,37,2328,4828,1943,1792,"standard","standard","no/optional","standard","standard","no","standard","standard","standard","standard","standard","standard","standard",5,"USA"
"Jeep","Wrangler","Wrangler 2.8 CRD Sahara auto 2d","Diesel",25995,4,2777,"4WD",197,339,12.9,107,34,2075,4223,1873,1840,"no","no","standard","standard","standard","no","standard","no","no","no","standard","optional","standard",3,"USA"
"Kia","Cee'd","cee'd 1.6 CRDi 126 ISG 2 5d Sportswagon","Diesel",19295,4,1582,"Front",126,192,10.8,120,64,1420,4505,1780,1485,"no","standard","standard","optional","standard","no","standard","no","no","standard","standard","no","standard",7,"Asia"
"Kia","Optima","Optima 1.7 CRDi 134 2 Luxe 4d","Diesel",21695,4,1685,"Front",134,239,10.2,125,57,1559,4845,1830,1455,"standard","standard","standard","optional","standard","standard","standard","standard","standard","standard","standard","no","standard",6,"Asia"
"Kia","Picanto","Picanto 1.0 City 3d","Petrol",10245,3,998,"Front",68,70,13.9,95,67,1015,3595,1595,1480,"standard","standard","no/optional","no","standard","no","no","no","no","standard","standard","no","standard",7,"Asia"
"Kia","Rio","Rio 1.1 CRDi EcoDynamics 1 Air 5d","Diesel",12695,3,1120,"Front",74,125,15.5,98,78,1191,4045,1720,1455,"no","no","no/optional","no","no","no","no","no","no","no","standard","no","standard",6,"Asia"
"Kia","Sorento","Sorento 2.2 CRDi 194 KX-2 5d","Diesel",28895,4,2199,"4WD",194,311,9.4,118,47,NA,4685,1895,1735,"standard","standard","no/optional","optional","no","standard","standard","no","no","standard","standard","optional","standard",5,"Asia"
"Kia","Soul","Soul 1.6 GDi Quantum 5d","Petrol",15600,4,1591,"Front",138,122,10,112,44,1245,4120,1785,1610,"no","no","no/optional","no","standard","standard","no","no","standard","standard","standard","no","standard",6,"Asia"
"Kia","Sportage","Sportage 2.0 AWD KX-2 5d","Petrol",21535,4,1998,"4WD",161,143,10.3,113,37,1525,4440,1855,1645,"no","standard","no/optional","optional","standard","no","standard","no","no","standard","standard","no","standard",6,"Asia"
"Kia","Venga","Venga 1.4 CRDi 89 1 Air 5d","Diesel",13695,4,1396,"Front",89,162,14,103,62,1345,4068,1765,1600,"no","standard","standard","no","no","no","no","no","no","no","standard","no","standard",4,"Asia"
"Lamborghini","Aventador","Aventador 6.5 V12 LP700-4 2d","Petrol",265865,12,6498,"4WD",700,509,2.9,217,17,1575,4780,2030,1136,"standard","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard",8,"Europe"
"Lamborghini","Gallardo","Gallardo 5.2 V10 LP 560-4 2d Spyder","Petrol",170947,10,5204,"4WD",560,398,4,201,19,NA,NA,NA,NA,"no","no","no/optional","no","no","no","no","no","no","no","no","no","no",7,"Europe"
"Land Rover","Defender","Defender 2.2D County 5d 110","Diesel",28195,4,2198,"4WD",122,265,14.7,90,25,2120,4785,1790,1790,"no","no","no/optional","no","optional","no","no","no","no","no","no","no","no",8,"Europe"
"Land Rover","Discovery 4","Discovery 4 3.0 SDV6 255 XS 5d 2012","Diesel",44195,6,2993,"4WD",256,443,8.8,112,32,2583,4829,NA,1887,"no","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard",9,"Europe"
"Land Rover","Freelander 2","Freelander 2 2.2 eD4 150 Dynamic 5d","Diesel",32300,4,2179,"Front",150,310,11.7,112,47,1710,4500,2005,1740,"standard","standard","no/optional","no","no","standard","standard","standard","standard","standard","standard","no","standard",7,"Europe"
"Land Rover","Range Rover","Range Rover 4.4 SDV8 Vogue SE 5d","Diesel",84695,8,4367,"4WD",339,516,6.5,135,32,2360,4999,2073,1835,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",9,"Europe"
"Land Rover","Range Rover Evoque","Evoque 2.2 eD4 150 2WD Prestige 5d","Diesel",36495,4,2179,"Front",150,280,10.6,112,56,NA,4365,1965,1635,"standard","no","no/optional","no","standard","standard","standard","standard","standard","standard","no","standard","standard",9,"Europe"
"Land Rover","Range Rover Sport","Range Rover Sport 3.0 SDV6 HSE Dynamic 5d","Diesel",64995,6,2993,"4WD",292,442,6.8,130,37,2115,4850,2073,1780,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Lexus","CT 200h","CT 200h Luxury 5d","Petrol",25995,4,1798,"Front",136,104,10.3,111,68,1370,4320,1765,1430,"no","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","optional","standard",4,"Asia"
"Lexus","GS","GS 300h Premier 4d","Petrol",43745,4,2494,"Rear",220,163,9.2,119,57,1730,4850,1840,1455,"no","no","no/optional","standard","no","no","no","no","no","no","no","no","no",5,"Asia"
"Lexus","IS","IS 5.0 V8 F","Petrol",58416,8,4969,"Rear",417,372,4.8,168,24,1700,4660,1815,1405,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",5,"Asia"
"Lexus","RX","RX 450h Luxury 5d","Petrol",48495,6,3456,"4WD",295,233,7.8,124,44,2110,4770,1885,1755,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",5,"Asia"
"Lotus","Elise","Elise 0.0 S 2d","Petrol",36200,4,NA,"Rear",NA,NA,0,NA,NA,876,3785,1850,1117,"no","no","standard","no","no","no","no","no","optional","no","no","no","no",8,"Europe"
"Lotus","Evora","Evora 3.5 S 2d","Petrol",60550,6,3456,"Rear",345,295,4.6,172,28,1436,4360,1850,1229,"no","standard","no/optional","optional","optional","no","optional","no","standard","optional","standard","no","standard",8,"Europe"
"Lotus","Exige S","Exige S 3.5 V6 Standard 2d","Petrol",52900,6,3456,"Rear",345,295,4,170,28,NA,4050,1800,1150,"no","no","no/optional","no","no","no","no","no","no","no","no","no","no",9,"Europe"
"Maserati","GranTurismo","GranTurismo 4.7 460 Sport 2d","Petrol",90750,8,4691,"Rear",460,383,4.8,185,19,1880,4881,1915,1353,"standard","no","standard","standard","standard","standard","standard","no","no","standard","standard","standard","standard",7,"Europe"
"Maserati","Quattroporte","Quattroporte 3.0 TT V6 4d","Petrol",80070,6,2997,"Rear",410,405,4.9,177,26,1900,5262,1948,1481,"standard","standard","standard","standard","no","standard","standard","no","standard","standard","standard","standard","standard",7,"Europe"
"Mazda","CX-5","CX-5 2.2 SKYACTIV-D 150 4WD SE-L 5d","Diesel",24695,4,2191,"4WD",150,280,9.4,122,54,1605,4555,1840,1710,"standard","standard","standard","optional","standard","no","standard","no","no","standard","standard","optional","standard",7,"Asia"
"Mazda","Mazda3","Mazda3 2.2 150 SKYACTIV-D SE 4d","Petrol",19245,4,2191,"Front",150,280,8,132,72,NA,4585,1795,1450,"no","standard","no/optional","no","standard","no","no","no","no","no","standard","optional","standard",6,"Asia"
"Mazda","MX-5","MX-5 2.0 160 Sport Tech 2d soft-top","Petrol",21495,4,NA,"Rear",160,138,7.6,132,36,NA,NA,NA,NA,"no","no","standard","no","standard","standard","standard","no","standard","no","standard","optional","standard",7,"Asia"
"McLaren","MP4-12C","12C 3.8 V8 TT 625 Standard 2d","Petrol",176000,8,3799,"Rear",625,442,3.1,207,24,1336,4509,1908,1199,"standard","standard","standard","standard","standard","standard","standard","standard","standard","no","standard","standard","standard",9,"Europe"
"Mercedes-Benz","A-Class","A 200 BlueEfficiency AMG Sport 5d","Petrol",24015,4,1595,"Front",156,184,8.4,139,49,NA,4292,1780,1433,"no","standard","standard","optional","standard","optional","standard","optional","no","optional","standard","optional","standard",8,"Europe"
"Mercedes-Benz","B-Class","B 180 CDI Sport 5d","Diesel",23360,4,1796,"Front",109,184,10.9,118,61,1475,4359,1786,1558,"standard","no","no/optional","optional","standard","no","no","no","optional","standard","no","optional","standard",8,"Europe"
"Mercedes-Benz","C-Class","C 200 CDI BlueEfficiency AMG Sport Plus 4d","Petrol",30350,4,2143,"Rear",136,265,9.2,135,57,1565,4591,1770,1447,"standard","standard","no/optional","optional","standard","standard","standard","standard","standard","standard","standard","optional","standard",7,"Europe"
"Mercedes-Benz","C63 AMG","C 63 AMG 4d","Petrol",56575,8,6208,"Rear",457,442,4.5,155,23,1730,4591,1770,1447,"standard","standard","no/optional","standard","standard","standard","standard","standard","standard","standard","standard","optional","standard",8,"Europe"
"Mercedes-Benz","CL-Class","CL 63 AMG 2d","Petrol",115660,8,5461,"Rear",544,590,4.6,155,26,2135,5095,1871,1419,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",5,"Europe"
"Mercedes-Benz","CLS Shooting Brake","CLS 250 CDI BlueEfficiency AMG Sport 5d Shooting Brake","Diesel",55995,4,2143,"Rear",204,368,7.8,146,53,NA,4956,1881,1416,"standard","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard",8,"Europe"
"Mercedes-Benz","CLS-Class","CLS 350 CDI BlueEfficiency AMG Sport 2d Coupe","Diesel",54235,6,2967,"Rear",265,457,6.2,155,46,NA,4940,1881,1416,"standard","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard",8,"Europe"
"Mercedes-Benz","E-Class","E 250 AMG Sport 4d","Petrol",37620,4,1991,"Rear",211,258,7.4,151,47,1680,4879,1854,1474,"standard","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard",8,"Europe"
"Mercedes-Benz","E-Class Coupe","E 250 CDI AMG Sport 2d Coupe","Diesel",40730,4,2143,"Rear",204,368,7.3,153,57,1735,4703,1786,1397,"standard","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard",6,"Europe"
"Mercedes-Benz","E63 AMG","E 63 AMG 4d","Petrol",73720,8,5461,"Rear",557,531,4.2,155,28,1845,4879,1854,1474,"standard","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard",9,"Europe"
"Mercedes-Benz","G-Class","G 350 BlueTec Standard 5d","Diesel",82945,6,2987,"4WD",211,398,9.1,108,25,2500,4662,1760,1951,"no","no","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard",3,"Europe"
"Mercedes-Benz","GL-Class","GL 350 BlueTEC AMG Sport 5d","Diesel",59465,6,2987,"4WD",258,457,7.9,137,35,2455,5120,1934,1850,"no","no","no/optional","standard","no","no","no","no","no","no","no","standard","no",7,"Europe"
"Mercedes-Benz","M-Class","ML 350 BlueTec Sport 5d","Diesel",47385,6,2987,"4WD",258,457,7.4,139,39,2175,4804,1926,1796,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"Mercedes-Benz","R-Class","R 300 CDI BlueEfficiency 2WD Standard 5d","Diesel",41955,6,2987,"Rear",190,324,9.5,134,37,2110,4922,1922,1674,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",6,"Europe"
"Mercedes-Benz","S-Class","S 400 Hybrid L AMG Line 4d","Petrol",74685,6,3498,"Rear",306,272,6.8,155,44,1945,NA,NA,NA,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Mercedes-Benz","SL 63","SL 63 V8 AMG 2d","Petrol",110785,8,5461,"Rear",537,590,4.3,155,28,1845,4617,1877,1315,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Mercedes-Benz","SL-Class","SL 500 2d","Petrol",83495,8,4663,"Rear",435,516,4.6,155,30,1785,4617,1877,1315,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Mercedes-Benz","SLK","SLK 250 BlueEfficiency Sport 2d","Petrol",38300,4,1796,"Rear",204,228,6.5,152,40,1475,4134,1810,1301,"standard","standard","standard","optional","standard","no","no","optional","standard","optional","standard","optional","standard",6,"Europe"
"Mercedes-Benz","SLS","SLS 6.3 V8 AMG 2d Roadster","Petrol",176895,8,6208,"Rear",571,479,3.8,196,21,1620,4638,1939,1262,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",9,"Europe"
"Mini","Clubman","MINI Clubman 1.6D 112 Cooper D 2010 5d","Diesel",17120,4,1598,"Front",112,199,10.2,122,72,1185,3961,1683,1426,"optional","standard","standard","optional","optional","optional","no","no","optional","optional","standard","optional","standard",6,"Europe"
"Mini","Convertible","MINI Convertible 1.6D 112 Cooper D 2010 2d","Diesel",18310,4,1598,"Front",112,119,10.3,120,70,1200,3723,1683,1414,"optional","standard","standard","optional","optional","optional","no","no","no","standard","standard","optional","standard",6,"Europe"
"Mini","Countryman","MINI Countryman 1.6D 112 ALL4 Cooper D 5d","Diesel",20300,4,1598,"4WD",112,199,11.6,112,57,1305,4097,1789,1561,"optional","standard","standard","optional","standard","optional","no","no","optional","standard","standard","optional","standard",5,"Europe"
"Mini","Coupe","MINI Coupe 1.6T Cooper S 3d","Petrol",19775,4,1598,"Front",184,192,6.9,143,48,NA,3734,1683,1378,"no","standard","no/optional","no","optional","no","no","no","no","standard","standard","optional","standard",5,"Europe"
"Mini","John Cooper Works","MINI Roadster 1.6T 211 John Cooper Works 2d","Petrol",24850,4,1598,"Front",211,207,6.5,147,38,NA,3758,1683,1391,"no","standard","no/optional","no","optional","optional","no","no","no","standard","standard","optional","standard",8,"Europe"
"Mini","Roadster","MINI Roadster 1.6T 184 Cooper S 2d","Petrol",20900,4,1598,"Front",184,192,7,141,47,NA,3734,1683,1390,"no","standard","no/optional","no","optional","optional","no","no","no","standard","standard","optional","standard",5,"Europe"
"Mitsubishi","ASX","ASX 1.8 DiD 3 5d","Diesel",20774,4,1798,"Front",148,221,9.7,124,51,1450,4295,1770,1625,"standard","standard","no/optional","no","standard","standard","standard","no","no","no","standard","no","standard",4,"Asia"
"Mitsubishi","i-MiEV","i EV i-MiEV 5d",NA,29045,0,NA,"Front",64,132,15.9,91,NA,1110,3475,1475,1610,"standard","no","standard","standard","optional","no","no","no","no","no","no","optional","standard",5,"Asia"
"Mitsubishi","Mirage","Mirage 1.2 2 5d","Petrol",11054,3,1193,"Front",79,78,11.7,112,68,845,3710,1665,1490,"standard","no","no/optional","no","no","no","no","no","no","optional","standard","no","standard",2,"Asia"
"Mitsubishi","Outlander","Outlander 2.2 DI-D GX4 5d","Diesel",30174,4,2268,"4WD",NA,NA,10.2,NA,52,NA,4655,1800,1680,"standard","standard","no/optional","optional","standard","standard","standard","standard","standard","standard","standard","standard","standard",6,"Asia"
"Mitsubishi","Shogun","Shogun 3.2 DI-DC Warrior 3d SWB","Diesel",33924,4,3200,"4WD",197,239,9.7,111,36,2095,4385,1875,1870,"no","standard","no/optional","optional","standard","standard","no","no","standard","standard","standard","standard","standard",3,"Asia"
"Morgan","3 Wheeler","3 Wheeler 2.0 Bespoke 2d","Petrol",30000,2,1968,"Rear",110,100,4.5,120,NA,490,NA,NA,NA,"no","no","no/optional","no","no","no","no","no","optional","no","no","no","no",8,"Europe"
"Morgan","Aero","Aero 4.8 V8 Coupe 2d","Petrol",99950,8,4799,"Rear",367,370,4.5,170,26,1175,4147,1751,1248,"no","no","no/optional","standard","no","no","no","no","standard","no","no","optional","no",8,"Europe"
"Morgan","Roadster","Classic 3.7 Roadster 2d","Petrol",45900,6,3700,"Rear",280,282,5.5,140,28,950,4010,1720,1220,"no","no","no/optional","optional","no","no","no","no","standard","no","no","no","no",4,"Europe"
"Nissan","370Z","370Z 3.7 V6 GT Pack 2d","Petrol",31995,6,3696,"Rear",326,269,5.3,155,26,1496,4250,1845,1315,"standard","no","standard","optional","standard","standard","standard","standard","standard","optional","standard","optional","standard",7,"Asia"
"Nissan","Juke","Juke 1.5 dCi 115 n-tec 5d","Petrol",17690,4,1461,"Front",115,191,11.2,109,67,1295,4135,1765,1570,"no","no","no/optional","no","standard","standard","standard","no","no","no","standard","standard","standard",5,"Asia"
"Nissan","Leaf","LEAF EV Standard 5d",NA,28490,0,NA,"Front",109,206,11.9,90,NA,1525,4445,1770,1550,"no","no","no/optional","standard","standard","standard","standard","no","no","standard","standard","standard","standard",7,"Asia"
"Nissan","Micra","Micra 1.2 DIG-S Visia 5d","Petrol",11250,3,1198,"Front",98,104,11.3,112,68,1040,3780,1675,1520,"no","no","no/optional","optional","standard","no","no","no","no","no","standard","no","standard",4,"Asia"
"Nissan","Note","Note 1.4 n-tec 5d","Petrol",13500,4,1386,"Front",88,94,13.4,101,47,1150,4100,1690,1550,"standard","no","no/optional","no","standard","standard","standard","no","no","standard","standard","standard","standard",5,"Asia"
"Nissan","Pathfinder","Pathfinder 2.5 dCi 190 Acenta 5d","Diesel",32445,4,2488,"4WD",190,331,11,115,33,2090,4813,1848,1785,"standard","no","standard","no","standard","standard","no","no","no","optional","standard","no","standard",6,"Asia"
"Nissan","Qashqai","Qashqai 1.6 117 Tekna 5d","Petrol",21295,4,1598,"Front",117,116,11.9,113,45,1297,4330,1780,1622,"standard","standard","standard","no","standard","standard","standard","no","standard","standard","standard","standard","standard",6,"Asia"
"Nissan","X-Trail","X-Trail 2.0 dCi 173 n-tec+ 5d","Diesel",27790,4,1995,"4WD",173,265,10,124,44,1650,4635,1790,1700,"standard","standard","standard","no","standard","standard","standard","no","no","standard","standard","standard","standard",6,"Asia"
"Noble","M600","M600 4.4 V8 T 650 Standard 2d","Petrol",2e+05,8,4439,"Rear",650,604,3,225,NA,1198,4360,1910,1120,"no","no","no/optional","no","no","no","no","no","standard","no","no","no","standard",9,"Europe"
"Pagani","Huayra","Huayra 6.0 V12 Standard 2d","Petrol",990000,12,5980,"Rear",730,811,3.3,230,23,1350,4605,2036,1169,"no","no","no/optional","standard","no","no","no","no","no","no","no","no","no",8,"Europe"
"Perodua","MYVI","Myvi 1.3 EZi auto 5d","Petrol",8999,4,1298,"Front",85,85,11.3,106,44,950,3720,1665,1550,"no","no","standard","optional","no","no","no","no","no","standard","standard","no","no",2,"Asia"
"Peugeot","107","107 1.0 68 Active 5d","Petrol",9345,3,998,"Front",68,70,14.2,100,65,210,3430,1630,1465,"no","no","no/optional","optional","standard","no","no","no","no","no","standard","no","optional",7,"Europe"
"Peugeot","207 CC","207 CC 1.6 VTi 120 GT 2d","Petrol",18145,4,1598,"Front",120,120,10.7,126,43,1417,4037,1750,1387,"standard","standard","standard","optional","standard","standard","no","no","optional","standard","standard","optional","standard",5,"Europe"
"Peugeot","207 SW","207 SW 1.6 HDi FAP 92 Active 5d","Diesel",15095,4,1560,"Front",92,161,13.3,113,67,1332,4149,1750,1555,"no","standard","no/optional","no","standard","no","optional","no","no","optional","standard","no","optional",5,"Europe"
"Peugeot","208","208 1.6 VTi 120 Allure 3d","Petrol",14645,4,1598,"Front",120,118,10.9,118,48,1080,3965,1739,1460,"standard","standard","no/optional","no","standard","standard","standard","no","no","optional","standard","optional","standard",7,"Europe"
"Peugeot","3008","3008 2.0 HYbrid4 Active 5d","Diesel",26995,4,1997,"4WD",200,221,8.5,118,80,1808,4365,1837,1639,"standard","standard","standard","standard","standard","standard","standard","no","no","standard","standard","optional","standard",5,"Europe"
"Peugeot","308","308 1.6 e-HDi 115 Active 5d","Petrol",18695,4,1560,"Front",115,203,10.2,121,76,1395,4253,1804,1457,"standard","standard","standard","no","standard","standard","standard","no","no","no","standard","standard","standard",5,"Europe"
"Peugeot","308 CC","308 CC 2.0 HDi 150 Active 2d","Diesel",24395,4,1997,"Front",150,260,11.1,129,47,1674,4400,1817,1426,"standard","standard","standard","optional","standard","standard","standard","no","optional","standard","standard","optional","standard",5,"Europe"
"Peugeot","308 SW","308 SW 1.6 e-HDi 112 EGC SS SR 5d","Diesel",19615,4,1560,"Front",112,180,12.3,118,65,1399,4500,1815,1498,"no","standard","no/optional","standard","standard","no","no","no","no","no","standard","standard","standard",4,"Europe"
"Peugeot","5008","5008 1.6 e-HDi 112 FAP EGC SR 5d","Diesel",21595,4,1560,"Front",112,177,12.6,114,57,1688,4530,1830,1638,"no","standard","no/optional","standard","standard","no","no","no","no","no","standard","standard","standard",6,"Europe"
"Peugeot","RCZ","RCZ 1.6 THP 156 GT 2d","Petrol",23995,4,1598,"Front",156,180,8.3,133,44,1394,4290,NA,1352,"standard","standard","standard","optional","standard","standard","standard","standard","standard","standard","standard","optional","standard",7,"Europe"
"Porsche","911","911 3.8 400 Carrera 4S 2d Cabriolet 991","Petrol",96964,6,3800,"4WD",400,324,4.7,183,28,1515,4491,1852,1294,"no","no","standard","optional","optional","no","optional","no","no","optional","standard","standard","standard",9,"Europe"
"Porsche","Boxster","Boxster 2.7 265 Standard 2d","Petrol",38237,6,2706,"Rear",265,206,5.8,164,34,1310,4374,1801,1282,"no","standard","standard","optional","optional","optional","optional","no","optional","optional","standard","optional","standard",9,"Europe"
"Porsche","Cayenne","Cayenne 4.8 V8 420 GTS 5d","Petrol",68117,8,4806,"4WD",420,379,5.7,162,26,2085,4846,1954,1708,"no","no","no/optional","no","no","no","no","no","no","no","no","no","no",7,"Europe"
"Porsche","Panamera","Panamera 3.0 V6 bi-turbo 420 S 5d","Petrol",82079,6,2997,"Rear",420,383,5.1,178,32,1810,5015,1931,1418,"no","standard","no/optional","standard","no","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"Proton","GEN-2","Gen-2 1.6 GLS 5d","Petrol",10195,4,1597,"Front",110,109,12.6,118,39,1185,4310,1725,1435,"no","standard","standard","no","no","no","no","no","optional","standard","standard","no","no",2,"Asia"
"Proton","Satria-Neo","Satria-Neo 1.6 GSX 3d","Petrol",8495,4,1597,"Front",111,109,11.5,118,42,1170,3905,1710,1420,"no","standard","standard","optional","no","standard","no","no","no","standard","standard","no","no",2,"Asia"
"Proton","Savvy","Savvy 1.2 Style 5d","Petrol",7995,4,1149,"Front",75,77,13.9,98,49,965,3710,1643,1480,"no","no","standard","optional","no","no","no","no","no","standard","standard","no","no",3,"Asia"
"Renault","Clio","Clio 1.5 dCi 90 ECO Expression+ 5d","Diesel",14345,4,1461,"Front",90,162,12,112,88,1071,4062,1731,1448,"no","standard","no/optional","no","standard","no","standard","no","no","no","standard","no","standard",7,"Europe"
"Renault","Megane","Megane 1.5 dCi 110 Stop and Start Dynamique TomTom 5d","Diesel",19800,4,1461,"Front",110,191,12.1,118,80,1215,4302,1808,1471,"standard","standard","standard","no","standard","optional","standard","no","optional","optional","standard","standard","standard",6,"Europe"
"Renault","Scenic/Grand Scenic","Grand Scenic 1.2 TCe 115 S&S Dynamique 5d","Petrol",21450,4,1198,"Front",115,140,12.6,112,47,1491,4573,1845,1671,"standard","standard","no/optional","no","standard","optional","standard","no","no","standard","standard","standard","standard",6,"Europe"
"Renault","Twingo","Twingo 1.2 75 Dynamique 3d","Petrol",10350,4,1149,"Front",75,78,12.3,105,55,950,3687,1654,1470,"no","no","no/optional","no","standard","optional","standard","no","no","no","standard","no","optional",6,"Europe"
"Renault","Twizy","Twizy 13kW Colour",NA,6950,NA,NA,NA,17,42,0,50,NA,450,2337,1237,1461,"no","no","no/optional","standard","no","no","no","no","no","no","no","no","no",7,"Europe"
"Renault","Zoe","Zoe EV Dynamique Intens 5d",NA,20043,NA,NA,"Front",88,162,13.5,84,NA,1468,4084,1730,1562,"standard","standard","no/optional","standard","standard","standard","standard","no","no","standard","standard","standard","standard",NA,"Europe"
"Rolls-Royce","Ghost","Ghost 6.6 V12 Extended Wheelbase 4d","Petrol",229980,12,6592,"Rear",563,575,4.8,155,20,2420,5569,1948,1556,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Rolls-Royce","Phantom","Phantom 6.75 V12 Drophead Coupe 2d","Petrol",352720,12,6749,"Rear",453,531,5.8,150,19,2705,5612,1987,1566,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",9,"Europe"
"Rolls-Royce","Phantom Coupe","Phantom 6.75 V12 Coupe 2d","Petrol",333130,12,6749,"Rear",453,531,5.8,155,19,2665,5612,1987,1598,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"SEAT","Alhambra","Alhambra 2.0 TDI CR 140 Ecomotive SE 2011 5d","Diesel",26610,4,1968,"Front",140,236,10.9,120,50,1747,4850,1900,1720,"standard","standard","standard","optional","standard","standard","standard","optional","optional","standard","standard","optional","standard",7,"Europe"
"SEAT","Altea","Altea 1.2 TSI 105 SE 5d","Petrol",17785,4,1197,NA,105,129,11.3,114,49,1360,4282,1768,1576,"optional","standard","standard","no","optional","standard","standard","no","no","optional","standard","optional","standard",3,"Europe"
"SEAT","Leon","Leon 1.4 TSI 140 FR 5d","Petrol",19385,4,1395,"Front",140,184,8.2,131,54,1231,4271,1784,1444,"optional","standard","standard","no","standard","standard","standard","no","optional","standard","standard","optional","standard",7,"Europe"
"SEAT","Mii","Mii 1.0 60 SE 3d","Petrol",9275,3,999,"Front",60,70,14.4,99,62,929,3557,1641,1478,"no","no","no/optional","no","optional","no","optional","no","no","optional","standard","optional","standard",8,"Europe"
"SEAT","Toledo","Toledo 1.2 TSI 105 SE 4d","Petrol",16350,4,1197,"Front",105,129,10.3,121,55,1175,4482,1703,1461,"no","standard","no/optional","no","standard","standard","standard","no","no","optional","standard","optional","standard",4,"Europe"
